,Name,Link,Distillery,Vintage,Country,Region,Size,Whisky Type,Bottles Produced,Distillery Staus,Strength,Warnings,Sold on,Cask No.,Cask Finish,Fill Level,Bottle No.,Cask Type,Batch No.,Winning Bid,Highest bid,Lot Id
4500,Macallan - Concept No.3 - 2020,https://www.highlandwhiskyauctions.com/lot-070321/macallan-concept-no3-2020/auction-7,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40.8%,None,,,,,,,,, £170.00,70321
4501,Akkeshi - Daikan - Sekki Series 2022,https://www.highlandwhiskyauctions.com/lot-070178/akkeshi-daikan-sekki-series-2022/auction-7,Akkeshi,,Japan,Japanese,70cl,BlendedWhisky,,Operational,48%,None,,,,,,,,, £160.00,70178
4502,Longrow - 15 Years Old - Red Pinot Noir,https://www.highlandwhiskyauctions.com/lot-070194/longrow-15-years-old-red-pinot-noir/auction-7,Longrow,15YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,9400,Operational,51.4%,None,,,,,,,,, £160.00,70194
4503,Tamdhu - Dalbeallie Dram 5 - Collectors Journey,https://www.highlandwhiskyauctions.com/lot-070216/tamdhu-dalbeallie-dram-5-collectors-journey/auction-7,Tamdhu,,Scotland,Speyside,70cl,SingleMaltWhisky,1000,Operational,62%,None,15/07/2022,,,,145,,, £160.00,,70216
4504,Bowmore - 15 Years Old - Aston Martin,https://www.highlandwhiskyauctions.com/lot-070471/bowmore-15-years-old-aston-martin/auction-7,Bowmore,15YearsOld,Scotland,Islay,100cl,SingleMaltWhisky,,Operational,43%,None,15/07/2022,,,,,,, £160.00,,70471
4505,Nc'nean - Aon 17 - 329 - Selfridges Ex Tequilla Cask,https://www.highlandwhiskyauctions.com/lot-070522/ncnean-aon-17-329-selfridges-ex-tequilla-cask/auction-7,NcNean,,Scotland,Highland,70cl,SingleMaltWhisky,289,Operational,51.4%,None,15/07/2022,17-329,,,,,, £160.00,,70522
4506,Bruichladdich - 1984 - 2002,https://www.highlandwhiskyauctions.com/lot-070040/bruichladdich-1984-2002/auction-7,Bruichladdich,,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,46%,Minor label mark.,15/07/2022,,,,,,, £160.00,,70040
4507,Tamdhu - Dalbeallie Dram 5 - Collectors Journey,https://www.highlandwhiskyauctions.com/lot-070045/tamdhu-dalbeallie-dram-5-collectors-journey/auction-7,Tamdhu,,Scotland,Speyside,70cl,SingleMaltWhisky,1000,Operational,62%,None,15/07/2022,,,,0859,,, £160.00,,70045
4508,Springbank - 12 Years Old - Cask Strength,https://www.highlandwhiskyauctions.com/lot-070394/springbank-12-years-old-cask-strength/auction-7,Springbank,12YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,12000,Operational,56.1%,Box creases.Label damage.,15/07/2022,,,,,,, £150.00,,70394
4509,Akkeshi - Shosho - Sekki Series 2021,https://www.highlandwhiskyauctions.com/lot-070177/akkeshi-shosho-sekki-series-2021/auction-7,Akkeshi,,Japan,Japanese,70cl,BlendedWhisky,,Operational,48%,None,,,,,,,,, £150.00,70177
4510,BenRiach - 20 Years Old - 1998 Cask Bottling,https://www.highlandwhiskyauctions.com/lot-070201/benriach-20-years-old-1998-cask-bottling/auction-7,BenRiach,20YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,290,Operational,53.4%,Minor label lifting.,,10299,,,150,,,, £150.00,70201
4511,Glenallachie - 15 Year Old - Scottish Oak Finish - Limited Edition,https://www.highlandwhiskyauctions.com/lot-070217/glenallachie-15-year-old-scottish-oak-finish-limited-edition/auction-7,Glenallachie,15YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,48%,None,,,,,,,,, £150.00,70217
4512,Macallan - Classic Cut - 2021,https://www.highlandwhiskyauctions.com/lot-070505/macallan-classic-cut-2021/auction-7,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,51%,Minor scratch on side of box.,,,,,,,,, £150.00,70505
4513,Highland Fusilier - 21 Years Old - Tercentenary 'Remember Series' 1978,https://www.highlandwhiskyauctions.com/lot-070264/highland-fusilier-21-years-old-tercentenary-remember-series-1978/auction-7,GordonandMacPhail,21YearsOld,Scotland,,75.7cl,BlendedWhisky,,Operational,40%,Box & label wear due to age.,,,,,,,,, £150.00,70264
4514,Springbank - 8 Years Old - Society Bottling 2012,https://www.highlandwhiskyauctions.com/lot-070051/springbank-8-years-old-society-bottling-2012/auction-7,Springbank,8YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,,Operational,57.3%,None,,,,,,,,, £150.00,70051
4515,Macallan - 10 Years Old - Sherry Oak,https://www.highlandwhiskyauctions.com/lot-070318/macallan-10-years-old-sherry-oak/auction-7,Macallan,10YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Minor label lifting.Minor box scratch/creases.,15/07/2022,,,,,,, £150.00,,70318
4516,Glenfarclas - 2008 Distillery Exclusive,https://www.highlandwhiskyauctions.com/lot-070172/glenfarclas-2008-distillery-exclusive/auction-7,Glenfarclas,,Scotland,Speyside,70cl,SingleMaltWhisky,656,Operational,64.1%,None,,,,,306,,,, £140.00,70172
4517,Springbank - 12 Years Old - Cask Strength,https://www.highlandwhiskyauctions.com/lot-070436/springbank-12-years-old-cask-strength/auction-7,Springbank,12YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,,Operational,59.9%,None,15/07/2022,,,,,,, £140.00,,70436
4518,Macallan - A Night On Earth,https://www.highlandwhiskyauctions.com/lot-070224/macallan-a-night-on-earth/auction-7,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,,,,,,,,, £140.00,70224
4519,Macallan - 10 Years Old - Sherry Oak + Macallan Bag,https://www.highlandwhiskyauctions.com/lot-070495/macallan-10-years-old-sherry-oak-macallan-bag/auction-7,Macallan,10YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Minor box damage.Minor label lifting.,15/07/2022,,,,,,, £140.00,,70495
4520,Macallan - A Night On Earth,https://www.highlandwhiskyauctions.com/lot-070516/macallan-a-night-on-earth/auction-7,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,15/07/2022,,,,,,, £140.00,,70516
4521,Johnnie Walker - Blue Label - Glenury Royal - Ghost and Rare,https://www.highlandwhiskyauctions.com/lot-070287/johnnie-walker-blue-label-glenury-royal-ghost-and-rare/auction-7,JohnnieWalker,,Scotland,Scotland,70cl,BlendedWhisky,,Operational,43.8%,Minor box marks/damage.,,,,,EU08292,,,, £140.00,70287
4522,Macallan - A Night On Earth,https://www.highlandwhiskyauctions.com/lot-070329/macallan-a-night-on-earth/auction-7,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Minor label lifting.,15/07/2022,,,,,,, £140.00,,70329
4523,Tullibardine - 27 Years Old - Stillman's Dram,https://www.highlandwhiskyauctions.com/lot-070170/tullibardine-27-years-old-stillmans-dram/auction-7,Tullibardine,27YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,,Operational,45%,Box wear/creases.,15/07/2022,,,,111,,, £130.00,,70170
4524,Springbank - 12 Years Old - Cask Strength,https://www.highlandwhiskyauctions.com/lot-070429/springbank-12-years-old-cask-strength/auction-7,Springbank,12YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,,Operational,59.9%,None,15/07/2022,,,,,,, £130.00,,70429
4525,Ardbeg - Ardcore - Committee Release,https://www.highlandwhiskyauctions.com/lot-070432/ardbeg-ardcore-committee-release/auction-7,Ardbeg,,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,50.1%,None,,,,,,,,, £130.00,70432
4526,Daftmill - 2009 - Summer Batch Release,https://www.highlandwhiskyauctions.com/lot-070184/daftmill-2009-summer-batch-release/auction-7,Daftmill,,Scotland,Lowland,70cl,SingleMaltWhisky,1875,Operational,46%,None,,"021/2009,025/2009,032/2009,033/2009&044/2009",,,,,,, £130.00,70184
4527,Macallan - 12 Years Old - Sherry Oak,https://www.highlandwhiskyauctions.com/lot-070248/macallan-12-years-old-sherry-oak/auction-7,Macallan,12YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,15/07/2022,,,,,,, £130.00,,70248
4528,Bimber - Small Batch - The Queens Platinum Jubilee 1952 - 2022,https://www.highlandwhiskyauctions.com/lot-070528/bimber-small-batch-the-queens-platinum-jubilee-1952-2022/auction-7,Bimber,,England,England,70cl,SingleMaltWhisky,1952,Operational,51.8%,None,15/07/2022,,,,1544,,, £130.00,,70528
4529,Balvenie - 17 Years Old - DoubleWood,https://www.highlandwhiskyauctions.com/lot-070305/balvenie-17-years-old-doublewood/auction-7,Balvenie,17YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Label tear/lifting.,15/07/2022,,,,,,, £130.00,,70305
4530,Auchentoshan - 1996 Old Particular - 22 Years Old - Halloween Edition,https://www.highlandwhiskyauctions.com/lot-070324/auchentoshan-1996-old-particular-22-years-old-halloween-edition/auction-7,Auchentoshan,22YearsOld,Scotland,Lowland,70cl,SingleMaltWhisky,183,Operational,55.4%,None,15/07/2022,,,,,,, £130.00,,70324
4531,Mortlach - 16 Years Old - Flora & Fauna,https://www.highlandwhiskyauctions.com/lot-070142/mortlach-16-years-old-flora-fauna/auction-7,Mortlach,16YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,None,,,,,,,,, £120.00,70142
4532,Macallan - Select Oak - 1 litre,https://www.highlandwhiskyauctions.com/lot-070154/macallan-select-oak-1-litre/auction-7,Macallan,,Scotland,Speyside,100cl,SingleMaltWhisky,,Operational,40%,Minor box creases/scratch. ,,,,,,,,, £120.00,70154
4533,Balvenie - 15 Years Old - Madeira Cask,https://www.highlandwhiskyauctions.com/lot-070418/balvenie-15-years-old-madeira-cask/auction-7,Balvenie,15YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,None,15/07/2022,,,,,,, £120.00,,70418
4534,Akkeshi - Usui - Sekki series 2021,https://www.highlandwhiskyauctions.com/lot-070180/akkeshi-usui-sekki-series-2021/auction-7,Akkeshi,,Japan,Japanese,70cl,BlendedWhisky,,Operational,48%,None,15/07/2022,,,,,,, £120.00,,70180
4535,Glenwyvis - 2018 - Inaugural Release Batch 01/21,https://www.highlandwhiskyauctions.com/lot-070198/glenwyvis-2018-inaugural-release-batch-0121/auction-7,Glenwyvis,,Scotland,Highland,70cl,SingleMaltWhisky,2000,,,None,,,,,,,,, £120.00,70198
4536,Caol Ila - Vintage 1989 - Signatory 2000 - 150cl,https://www.highlandwhiskyauctions.com/lot-070453/caol-ila-vintage-1989-signatory-2000-150cl/auction-7,CaolIla,11YearsOld,Scotland,Islay,150cl,SingleMaltWhisky,144,Operational,43%,Label wear/marks.,,978,,,80,,,, £120.00,70453
4537,Ardbeg - Ardcore - Committee Release,https://www.highlandwhiskyauctions.com/lot-070215/ardbeg-ardcore-committee-release/auction-7,Ardbeg,,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,50.1%,Minor lable marks.,15/07/2022,,,,,,, £120.00,,70215
4538,Oban - 12 Years Old - 75cl & Miniature,https://www.highlandwhiskyauctions.com/lot-070223/oban-12-years-old-75cl-miniature/auction-7,Oban,12YearsOld,Scotland,Highland,80cl,SingleMaltWhisky,,Operational,40%,None,,,,,,,,, £120.00,70223
4539,Dalmore - 18 Years Old,https://www.highlandwhiskyauctions.com/lot-070486/dalmore-18-years-old/auction-7,Dalmore,18YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,,Operational,43%,None,15/07/2022,,,,,,, £120.00,,70486
4540,Ledaig - 21 Years Old - Marsala Cask Finish,https://www.highlandwhiskyauctions.com/lot-070260/ledaig-21-years-old-marsala-cask-finish/auction-7,Ledaig(Tobermory),21YearsOld,Scotland,Islands,70cl,SingleMaltWhisky,1126,Operational,55.8%,None,,,,,185,,,, £120.00,70260
4541,Glenlossie - 12 Years Old - Manager's Dram,https://www.highlandwhiskyauctions.com/lot-070293/glenlossie-12-years-old-managers-dram/auction-7,Glenlossie,12YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,55.5%,None,15/07/2022,,,,1309,,, £120.00,,70293
4542,Glendronach - 12 Years Old - (1990's),https://www.highlandwhiskyauctions.com/lot-070298/glendronach-12-years-old-1990s/auction-7,Glendronach,12YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,,Operational,40%,Label lifting.,15/07/2022,,,,,,, £120.00,,70298
4543,Chivas - Royal Salute - Richard Quinn - 5cl,https://www.highlandwhiskyauctions.com/lot-070310/chivas-royal-salute-richard-quinn-5cl/auction-7,Chivas,,Scotland,Scotland,5cl,BlendedWhisky,,Operational,40%,None,15/07/2022,,,,,,, £120.00,,70310
4544,Balvenie - 17 Years Old - DoubleWood,https://www.highlandwhiskyauctions.com/lot-070326/balvenie-17-years-old-doublewood/auction-7,Balvenie,17YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Minor mark on label.,15/07/2022,,,,,,, £120.00,,70326
4545,BenRiach - 21 Years Old - Authenticus Peated Malt,https://www.highlandwhiskyauctions.com/lot-070168/benriach-21-years-old-authenticus-peated-malt/auction-7,BenRiach,21YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,46%,Tube damage.Rust from tin lid.,15/07/2022,,,,,,, £110.00,,70168
4546,Springbank - 10 Years Old - Duty Paid Sample 2011,https://www.highlandwhiskyauctions.com/lot-070426/springbank-10-years-old-duty-paid-sample-2011/auction-7,Springbank,10YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,,Operational,59.9%,None,15/07/2022,,,,,,, £110.00,,70426
4547,Springbank - 12 Years Old - Decanter (1980's),https://www.highlandwhiskyauctions.com/lot-070452/springbank-12-years-old-decanter-1980s/auction-7,Springbank,12YearsOld,Scotland,Campbeltown,75cl,SingleMaltWhisky,,Operational,43%,Box damage/wear.,,,,,,,,, £110.00,70452
4548,Aberlour - 13 Years Old - Oloroso Sherry Cask - Distillery Exclusive ,https://www.highlandwhiskyauctions.com/lot-070200/aberlour-13-years-old-oloroso-sherry-cask-distillery-exclusive/auction-7,Aberlour,13YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,51.3%,None,15/07/2022,,,,1860,,, £110.00,,70200
4549,Bruichladdich - 10 Years Old - 70cl & 5cl (1980's),https://www.highlandwhiskyauctions.com/lot-070219/bruichladdich-10-years-old-70cl-5cl-1980s/auction-7,Bruichladdich,10YearsOld,Scotland,Islay,75cl,SingleMaltWhisky,,Operational,40%,Minor label lifting/damage.Box wear.,15/07/2022,,,,,,, £110.00,,70219
4550,Glenlivet - Cipher,https://www.highlandwhiskyauctions.com/lot-070233/glenlivet-cipher/auction-7,Glenlivet,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,48%,None,15/07/2022,,,,,,, £110.00,,70233
4551,Macallan - 10 Years Old - Sherry Oak,https://www.highlandwhiskyauctions.com/lot-070001/macallan-10-years-old-sherry-oak/auction-7,Macallan,10YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Minor label lifting.Marks on label.,15/07/2022,,,,,,, £110.00,,70001
4552,Johnnie Walker - Blue Label 75cl,https://www.highlandwhiskyauctions.com/lot-070015/johnnie-walker-blue-label-75cl/auction-7,JohnnieWalker,,,Scotland,75cl,BlendedWhisky,,Operational,43%,Minor label lifting/damage.,15/07/2022,,,,42750,,, £110.00,,70015
4553,Bowmore - 12 Years Old - Screen Print,https://www.highlandwhiskyauctions.com/lot-070016/bowmore-12-years-old-screen-print/auction-7,Bowmore,12YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,40%,None,15/07/2022,,,,,,, £110.00,,70016
4554,Chivas - Royal Salute - Richard Quinn - 5cl,https://www.highlandwhiskyauctions.com/lot-070526/chivas-royal-salute-richard-quinn-5cl/auction-7,Chivas,,Scotland,Scotland,5cl,BlendedWhisky,,Operational,40%,None,15/07/2022,,,,,,, £110.00,,70526
4555,Talisker - 10 Years Old (Old Style),https://www.highlandwhiskyauctions.com/lot-070363/talisker-10-years-old-old-style/auction-7,Talisker,,Scotland,Islands,70cl,SingleMaltWhisky,,Operational,45.8%,Box creases.Label lifting.,15/07/2022,,,,,,, £110.00,,70363
4556,Chivas Regal - 20 Years Old - Ultis Victory Edition 1999 1Litre,https://www.highlandwhiskyauctions.com/lot-070144/chivas-regal-20-years-old-ultis-victory-edition-1999-1litre/auction-7,Chivas,20YearsOld,Scotland,,100cl,BlendedWhisky,,Operational,40%,Minor marks on box.,,,,,,,,, £100.00,70144
4557,Glenmorangie - Traditional - 100° Proof - 1 Litre,https://www.highlandwhiskyauctions.com/lot-070160/glenmorangie-traditional-1000-proof-1-litre/auction-7,Glenmorangie,,Scotland,Highland,100cl,SingleMaltWhisky,,Operational,57.2%,None,,,,,,,,, £100.00,70160
4558,Johnnie Walker - Blue Label 75cl,https://www.highlandwhiskyauctions.com/lot-070437/johnnie-walker-blue-label-75cl/auction-7,JohnnieWalker,,Scotland,Scotland,75cl,BlendedWhisky,,Operational,43%,None,15/07/2022,,,,Q491068,,, £100.00,,70437
4559,Glenfiddich - 21 Year Old - Reserva Rum Cask Finish,https://www.highlandwhiskyauctions.com/lot-070186/glenfiddich-21-year-old-reserva-rum-cask-finish/auction-7,Glenfiddich,21YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,15/07/2022,,,,,,, £100.00,,70186
4560,Longrow - 10 Years Old - Red Refill Malbec,https://www.highlandwhiskyauctions.com/lot-070195/longrow-10-years-old-red-refill-malbec/auction-7,Longrow,10YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,10000,Operational,52.2%,None,,,,,,,,, £100.00,70195
4561,Glenkinchie - 15 Years Old - Manager's Dram 2010,https://www.highlandwhiskyauctions.com/lot-070204/glenkinchie-15-years-old-managers-dram-2010/auction-7,Glenkinchie,15YearsOld,Scotland,Lowland,70cl,SingleMaltWhisky,,Operational,60.1%,None,,,,,361,,,, £100.00,70204
4562,Glenfiddich - 12 Years Old - Toasted Oak Reserve,https://www.highlandwhiskyauctions.com/lot-070206/glenfiddich-12-years-old-toasted-oak-reserve/auction-7,Glenfiddich,12YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Rust from tin lid.Minor scratches on glass.,15/07/2022,,,,,,, £100.00,,70206
4563,Macallan - 12 Year Old - Double Cask - Year Of The Ox,https://www.highlandwhiskyauctions.com/lot-070479/macallan-12-year-old-double-cask-year-of-the-ox/auction-7,Macallan,12YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,,40%,None,15/07/2022,,,,,,, £100.00,,70479
4564,Aberlour - 13 Years Old - Oloroso Sherry Cask - Distillery Exclusive,https://www.highlandwhiskyauctions.com/lot-070246/aberlour-13-years-old-oloroso-sherry-cask-distillery-exclusive/auction-7,Aberlour,13YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,51.3%,None,15/07/2022,,,,1725,,, £100.00,,70246
4565,Chivas - Royal Salute - Richard Quinn - 5cl,https://www.highlandwhiskyauctions.com/lot-070527/chivas-royal-salute-richard-quinn-5cl/auction-7,Chivas,,Scotland,Scotland,5cl,BlendedWhisky,,Operational,40%,None,15/07/2022,,,,,,, £100.00,,70527
4566,Glenlivet - Archive (1990's),https://www.highlandwhiskyauctions.com/lot-070291/glenlivet-archive-1990s/auction-7,Glenlivet,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box damage/wear/creases.Label lifting/damage.,15/07/2022,,,,,,, £100.00,,70291
4567,Glenkinchie - 15 Years Old - Manager's Dram,https://www.highlandwhiskyauctions.com/lot-070292/glenkinchie-15-years-old-managers-dram/auction-7,Glenkinchie,15YearsOld,Scotland,Lowland,70cl,SingleMaltWhisky,,Operational,60.1%,None,15/07/2022,,,,311,,, £100.00,,70292
4568,Chivas - Royal Salute - Richard Quinn - 5cl,https://www.highlandwhiskyauctions.com/lot-070309/chivas-royal-salute-richard-quinn-5cl/auction-7,Chivas,,Scotland,Scotland,5cl,BlendedWhisky,,Operational,40%,None,15/07/2022,,,,,,, £100.00,,70309
4569,Highland Park - 18 Years Old - Signed,https://www.highlandwhiskyauctions.com/lot-070193/highland-park-18-years-old-signed/auction-7,HighlandPark,18YearsOld,Scotland,Islands,70cl,SingleMaltWhisky,756,Operational,43%,None,,,,,,,,, £95.00,70193
4570,Daftmill - 2010 Summer Batch Release,https://www.highlandwhiskyauctions.com/lot-070481/daftmill-2010-summer-batch-release/auction-7,Daftmill,,Scotland,Lowland,70cl,SingleMaltWhisky,6250,Operational,46%,None,15/07/2022,,,,,,, £95.00,,70481
4571,Ardbeg - Scorch - Limited Edition ,https://www.highlandwhiskyauctions.com/lot-070483/ardbeg-scorch-limited-edition/auction-7,Ardbeg,,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,46%,None,15/07/2022,,,,,,, £95.00,,70483
4572,Tamdhu - 18 Years Old - Limited Release,https://www.highlandwhiskyauctions.com/lot-070500/tamdhu-18-years-old-limited-release/auction-7,Tamdhu,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,46.8%,None,15/07/2022,,,,,,, £95.00,,70500
4573,Macallan - Lumina,https://www.highlandwhiskyauctions.com/lot-070510/macallan-lumina/auction-7,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,41.3%,Very minor box dents.,15/07/2022,,,,,,, £95.00,,70510
4574,Glenturret - 18 Years Old ,https://www.highlandwhiskyauctions.com/lot-070037/glenturret-18-years-old/auction-7,Glenturret,18YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,,Operational,40%,Minor label damage.,15/07/2022,,,,002598,,, £95.00,,70037
4575,Glenrothes - 1982,https://www.highlandwhiskyauctions.com/lot-070041/glenrothes-1982/auction-7,Glenrothes,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Minor label damage/wear.,15/07/2022,,,,,,, £95.00,,70041
4576,Glenrothes - 1989,https://www.highlandwhiskyauctions.com/lot-070042/glenrothes-1989/auction-7,Glenrothes,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Minor label damage/wear.,15/07/2022,,,,,,, £95.00,,70042
4577,Glendullan - 16 Years Old - Centenary Bottling,https://www.highlandwhiskyauctions.com/lot-070202/glendullan-16-years-old-centenary-bottling/auction-7,Glendullan,16YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,65.9%,Minor label tear.,,,,,44,,,, £90.00,70202
4578,The Singleton of Auchroisk 1975 - 70cl & 5cl,https://www.highlandwhiskyauctions.com/lot-070218/the-singleton-of-auchroisk-1975-70cl-5cl/auction-7,Singleton,,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,40%,Minor label damage.,,,,,,,,, £90.00,70218
4579,Tobermory - 19 Years Old - Marsala Cask Finish,https://www.highlandwhiskyauctions.com/lot-070259/tobermory-19-years-old-marsala-cask-finish/auction-7,Tobermory,19YearsOld,Scotland,Islands,70cl,SingleMaltWhisky,1134,Operational,55.7%,None,,,,,792,,,, £90.00,70259
4580,Glen Grant - Five Decades - Limited Edition,https://www.highlandwhiskyauctions.com/lot-070158/glen-grant-five-decades-limited-edition/auction-7,GlenGrant,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,46%,Minor box wear.,,,,,,,,, £85.00,70158
4581,Orkney - 17 Years Old -  Thompson Bros Cask No.2,https://www.highlandwhiskyauctions.com/lot-070466/orkney-17-years-old-thompson-bros-cask-no2/auction-7,,17YearsOld,Scotland,Islands,70cl,SingleMaltWhisky,,Operational,56.5%,None,15/07/2022,,,,,,, £85.00,,70466
4582,Longrow - 14 Years Old - Wine Cask - Cadenhead's,https://www.highlandwhiskyauctions.com/lot-070498/longrow-14-years-old-wine-cask-cadenheads/auction-7,Longrow,14YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,246,Operational,54.5%,Marks on box.,15/07/2022,,,,,,, £85.00,,70498
4583,Bowmore - Legend,https://www.highlandwhiskyauctions.com/lot-070000/bowmore-legend/auction-7,Bowmore,,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,40%,Label lifting.,15/07/2022,,,,,,, £85.00,,70000
4584,Kilchoman - 2006 Vintage Release - 2 x 70cl,https://www.highlandwhiskyauctions.com/lot-070014/kilchoman-2006-vintage-release-2-x-70cl/auction-7,Kilchoman,5YearsOld,Scotland,Islay,140cl,SingleMaltWhisky,,Operational,46%,None,15/07/2022,,,,1211&1212,,, £85.00,,70014
4585,Glenmorangie - Azuma 18 Years Old - Limited Edition,https://www.highlandwhiskyauctions.com/lot-070327/glenmorangie-azuma-18-years-old-limited-edition/auction-7,Glenmorangie,18YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,,Operational,43%,None,15/07/2022,,,,,,, £85.00,,70327
4586,Springbank - Hand Filled Distillery Exclusive,https://www.highlandwhiskyauctions.com/lot-070423/springbank-hand-filled-distillery-exclusive/auction-7,Springbank,,Scotland,Campbeltown,70cl,SingleMaltWhisky,,Operational,55.4%,None,15/07/2022,,,,,,, £80.00,,70423
4587,Hazelburn - 13 Years Old - Oloroso Cask Matured ,https://www.highlandwhiskyauctions.com/lot-070197/hazelburn-13-years-old-oloroso-cask-matured/auction-7,Springbank,13YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,,Operational,50.3%,None,,,,,,,,, £80.00,70197
4588,Glenallachie - 12 Years Old - 2009 Single Cask - Marsala Barrel,https://www.highlandwhiskyauctions.com/lot-070508/glenallachie-12-years-old-2009-single-cask-marsala-barrel/auction-7,Glenallachie,12YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,295,Operational,58%,None,15/07/2022,5856,,,064,,, £80.00,,70508
4589,Bruichladdich - 10 Years Old (1980's),https://www.highlandwhiskyauctions.com/lot-070027/bruichladdich-10-years-old-1980s/auction-7,Bruichladdich,10YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,40%,Minor label lifting/wear.,15/07/2022,,,,,,, £80.00,,70027
4590,Fettercairn - Fasque,https://www.highlandwhiskyauctions.com/lot-070354/fettercairn-fasque/auction-7,Fettercairn,,Scotland,Highland,70cl,SingleMaltWhisky,,Operational,42%,Minor label lifting.,15/07/2022,,,,,,, £80.00,,70354
4591,Kilkerran - 8 Years Old - Cask Strength - Sherry Cask 2022,https://www.highlandwhiskyauctions.com/lot-070387/kilkerran-8-years-old-cask-strength-sherry-cask-2022/auction-7,Glengyle,8YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,,Operational,58.1%,Minor label wear.,15/07/2022,,,,,,, £75.00,,70387
4592,Royal Salute - Exclusive Selection - Batch No.1 - 50cl,https://www.highlandwhiskyauctions.com/lot-070461/royal-salute-exclusive-selection-batch-no1-50cl/auction-7,Chivas,,Scotland,Scotland,50cl,BlendedWhisky,,Operational,40%,Label lifting.,,,,,,,,, £75.00,70461
4593,Royal Brackla - Runrig One For The Road - Duncan Taylor,https://www.highlandwhiskyauctions.com/lot-070467/royal-brackla-runrig-one-for-the-road-duncan-taylor/auction-7,RoyalBrackla,,Scotland,Highland,70cl,SingleMaltWhisky,,Operational,46%,None,15/07/2022,,,,,,, £75.00,,70467
4594,Glen Elgin - 12 Years Old - White Horse Distillers (1980's) - 75cl & 5cl,https://www.highlandwhiskyauctions.com/lot-070221/glen-elgin-12-years-old-white-horse-distillers-1980s-75cl-5cl/auction-7,GlenElgin,12YearsOld,Scotland,Highland,80cl,SingleMaltWhisky,,Operational,43%,Minor label damage/lifting.,,,,,,,,, £75.00,70221
