,Name,Link,Distillery,Vintage,Country,Region,Size,Whisky Type,Bottles Produced,Distillery Staus,Strength,Warnings,Sold on,Cask No.,Cask Finish,Fill Level,Bottle No.,Cask Type,Batch No.,Winning Bid,Highest bid,Lot Id
881,"Macallan - Concept 1,2 & 3",https://www.highlandwhiskyauctions.com/lot-120559/macallan-concept-12-3/auction-12,Macallan,,Scotland,Speyside,210cl,SingleMaltWhisky,,Operational,40.8%,Concept 1 box condition.,06/01/2023,,,,,,, £920.00,,120559
882,Benromach - Cask No.1 - 20th Anniversary,https://www.highlandwhiskyauctions.com/lot-120357/benromach-cask-no1-20th-anniversary/auction-12,Benromach,20YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,575,Operational,60.1%,None,06/01/2023,,,,381,,, £920.00,,120357
883,"Johnnie Walker - Blue Label - Brora, Pittyvaich, Port Ellen & Glenury Royal - Ghost and Rare",https://www.highlandwhiskyauctions.com/lot-120193/johnnie-walker-blue-label-brora-pittyvaich-port-ellen-glenury-royal-ghost-and-rare/auction-12,JohnnieWalker,,Scotland,Scotland,280cl,BlendedWhisky,,,46%,Minor marks on boxes.,,,,,,,,, £900.00,120193
884,Macallan - 18 Years Old - 1992 - French Import (75cl),https://www.highlandwhiskyauctions.com/lot-120722/macallan-18-years-old-1992-french-import-75cl/auction-12,Macallan,18YearsOld,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,43%,Box condition.,06/01/2023,,,,,,, £900.00,,120722
885,Glenlivet - 1963 - Gordon & MacPhail - Private Collection,https://www.highlandwhiskyauctions.com/lot-120206/glenlivet-1963-gordon-macphail-private-collection/auction-12,Glenlivet,,Scotland,Speyside,70cl,SingleMaltWhisky,223,Operational,40.6%,Minor box marks.,,1723&1726,,,103,,,, £900.00,120206
886,Macallan - Reflexion (75cl),https://www.highlandwhiskyauctions.com/lot-120374/macallan-reflexion-75cl/auction-12,Macallan,,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,43%,Outer pacakging wear.,06/01/2023,,,,,,, £900.00,,120374
887,Macallan - 10 Years Old - Cask Strength - 1 Litre,https://www.highlandwhiskyauctions.com/lot-120189/macallan-10-years-old-cask-strength-1-litre/auction-12,Macallan,10YearsOld,Scotland,Speyside,100cl,SingleMaltWhisky,,Operational,58.6%,Box wear/creases.Minor label lifting.,,,,,,,,, £860.00,120189
888,Rosebank - 21 Years Old - 1990 Limited Edition,https://www.highlandwhiskyauctions.com/lot-120240/rosebank-21-years-old-1990-limited-edition/auction-12,Rosebank,21YearsOld,Scotland,Lowland,70cl,SingleMaltWhisky,,Closed,53.8%,Minor mark on box label.,06/01/2023,,,,,,, £860.00,,120240
889,"Glenallachie - Billy Walker 50th Anniversary Trilogy - Past, Present and Future - 3 x 70cl",https://www.highlandwhiskyauctions.com/lot-120302/glenallachie-billy-walker-50th-anniversary-trilogy-past-present-and-future-3-x-70cl/auction-12,Glenallachie,,Scotland,Speyside,210cl,SingleMaltWhisky,,Operational,60.2%,None,,,,,,,,, £820.00,120302
890,Laphroaig - 30 Year Old - The Ian Hunter Story - Book 1,https://www.highlandwhiskyauctions.com/lot-120242/laphroaig-30-year-old-the-ian-hunter-story-book-1/auction-12,Laphroaig,30YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,46.7%,None,,,,,,,,, £800.00,120242
891,Laphroaig - 30 Year Old - The Ian Hunter Story - Book 1,https://www.highlandwhiskyauctions.com/lot-120243/laphroaig-30-year-old-the-ian-hunter-story-book-1/auction-12,Laphroaig,30YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,46.7%,None,,,,,,,,, £800.00,120243
892,Glenturret - Manager's Dram - Release No.1 (Signed),https://www.highlandwhiskyauctions.com/lot-120297/glenturret-managers-dram-release-no1-signed/auction-12,Glenturret,,Scotland,Highland,70cl,SingleMaltWhisky,500,Operational,53%,Box condition.,06/01/2023,,,,097,,, £800.00,,120297
893,Glenlivet - 39 Years Old - 1951 Gordon & MacPhail - Book of Kells Decanter,https://www.highlandwhiskyauctions.com/lot-120523/glenlivet-39-years-old-1951-gordon-macphail-book-of-kells-decanter/auction-12,Glenlivet,39YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Minor box marks.Notice from Gordon & MacPhail.,,,,,,,,, £740.00,120523
894,GlenDronach - 28 Years Old - Grandeur Batch 011,https://www.highlandwhiskyauctions.com/lot-120266/glendronach-28-years-old-grandeur-batch-011/auction-12,Glendronach,28YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,3181,Operational,48.9%,None,06/01/2023,,,,535,,011, £740.00,,120266
895,Macallan - Classic Cut - 2017 (75cl),https://www.highlandwhiskyauctions.com/lot-120557/macallan-classic-cut-2017-75cl/auction-12,Macallan,,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,58.4%,Minor box wear.,,,,,,,,, £740.00,120557
896,Macallan - Rare Cask - Black (Limited Edition),https://www.highlandwhiskyauctions.com/lot-120366/macallan-rare-cask-black-limited-edition/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,48%,None,06/01/2023,,,,,,, £740.00,,120366
897,Macallan - Classic Cut - 2017 (75cl),https://www.highlandwhiskyauctions.com/lot-120221/macallan-classic-cut-2017-75cl/auction-12,Macallan,,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,58.4%,Minor box wear.Label lifting.,,,,,,,,, £720.00,120221
898,GlenDronach - 28 Years Old - Grandeur Batch 011,https://www.highlandwhiskyauctions.com/lot-120267/glendronach-28-years-old-grandeur-batch-011/auction-12,Glendronach,28YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,3181,Operational,48.9%,None,06/01/2023,,,,486,,011, £720.00,,120267
899,Macallan - Classic Cut - 2017 (75cl),https://www.highlandwhiskyauctions.com/lot-120271/macallan-classic-cut-2017-75cl/auction-12,Macallan,,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,58.4%,None,,,,,,,,, £720.00,120271
900,Glenturret - 25 Years Old - 2021 Release,https://www.highlandwhiskyauctions.com/lot-120289/glenturret-25-years-old-2021-release/auction-12,Glenturret,25YearsOld,Scotland,Scotland,70cl,SingleMaltWhisky,204,Operational,44.3%,None,,,,,070,,,, £720.00,120289
901,Macallan - Classic Cut - 2017 (75cl),https://www.highlandwhiskyauctions.com/lot-120556/macallan-classic-cut-2017-75cl/auction-12,Macallan,,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,58.4%,Minor box wear.,,,,,,,,, £720.00,120556
902,Macallan - Ruby - 1824 Series,https://www.highlandwhiskyauctions.com/lot-120172/macallan-ruby-1824-series/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Minor label marks.Minor box marks.,06/01/2023,,,,,,, £700.00,,120172
903,Aberlour - 30 Years Old - Vintage Edition 1991,https://www.highlandwhiskyauctions.com/lot-120200/aberlour-30-years-old-vintage-edition-1991/auction-12,Aberlour,30YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,150,Operational,43.8%,None,,,,,,,,, £700.00,120200
904,Macallan - Home Collection - The Distillery & Giclee Art Prints,https://www.highlandwhiskyauctions.com/lot-120332/macallan-home-collection-the-distillery-giclee-art-prints/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,None,,,,,,,,, £700.00,120332
905,Glenfarclas - 40 Years Old,https://www.highlandwhiskyauctions.com/lot-120381/glenfarclas-40-years-old/auction-12,Glenfarclas,40YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,46%,Fill level at shoulder.,06/01/2023,,,,,,, £700.00,,120381
906,Royal Brackla - Private Collection 1964 - Gordon & Macphail,https://www.highlandwhiskyauctions.com/lot-120520/royal-brackla-private-collection-1964-gordon-macphail/auction-12,RoyalBrackla,40YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,94,Operational,45.9%,Minor label lifting & rust from lid.,,2031,,,,,75,, £680.00,120520
907,Port Ellen - The Golden Cask 1983,https://www.highlandwhiskyauctions.com/lot-120450/port-ellen-the-golden-cask-1983/auction-12,PortEllen,,Scotland,Islay,70cl,SingleMaltWhisky,316,Closed,54.2%,None,06/01/2023,CM126,,,298,,, £660.00,,120450
908,GlenDronach - 28 Years Old - Grandeur Batch 011,https://www.highlandwhiskyauctions.com/lot-120277/glendronach-28-years-old-grandeur-batch-011/auction-12,Glendronach,28YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,3181,Operational,48.9%,None,,,,,565,,011,, £640.00,120277
